review_body,review_date
"The buildings, the grounds and the history are incredible. Everything you see is historic.To start, we took the #3 train and got off at the Jongno station, exit 1 takes you straight to the palace and museum. We got there right when the changing of the guards had finished so be there by 10 am or 2 pm if you want to see it. But we were able to go on the 11 am guided tour in English, it is free and it is the only way to know what you are seeing because most buildings look the same. The tour takes an hour and then you can walk around by yourself. It is very inexpensive, around $2.50 US unless you dress in traditional Korean clothes, then it is free.At the end exit towards the Seoul Library and walk to the Bukchon Hanok Village .","September 29, 2019"
"Very nice place, great to come over the weekend and see the local Koreans dressed on their traditional clothing ","September 29, 2019"
"Gyeongbokgung Palace was the royal palace of Joseon dynasty. Our tour guide, Erica, gave a detailed history of this dynasty and the sons fought with each other to occupy the throne and that lead to the construction of the other main palace. She explained about the summer and winter offices and rooms considering how hot and cold the temperature reaches during theses season in South Korea. Also, the change of guards is one of the major attractions of this palace. Don't miss it. Must visit.","September 28, 2019"
"An amazing, sprawling site you have to visit in Seoul. Get there by 10am on a weekday and you'll have a perfect view for the changing of the guard. it's an awesome show. Rent a traditional hanbok at a shop nearby, get in free and supercharge your instagram, yo.","September 28, 2019"
"Since we booked a nearby hostel, it was just a good walk from our place. The palaces are quite interesting which gives you an idea of how they used to lived during the old times.It was a good thing that it was not crowded when we visited so we really enjoyed the beauty of the place.","September 28, 2019"
"This Palace has some beautiful architecture & bugger structures than Seoul other palaces, but this makes it a lot busier. The buildings are set in a classic structure - as you pass through the biggest & most regal first, then lots of structures of lesser quality follow after with buildings & Court yards to either side.This Palace is easy to wander on your own without a guide.The route follows through to the National Folk Museum & also the is the National Museum of Korea at the side. ","September 27, 2019"
"This palace (mostly restored) is the oldest of the Joseon dynasty. Free for those over 65 and note that 64 in US counts as 65 in Korea (bring your passport for proof of age). Otherwise, just 3,000 won.Very large and many photo ops. Be sure to spend time in the free Palace Museum just outside the paying area.","September 30, 2019"
"Take metroline 3 (orange) and get out at Gyeongbokgung station. This is a must see/do when in Seoul. It´s one of the most well maintained historical sites I have ever visited. Like many ´main tourist attractions´ it´s full of tourists, but because many locals like to rent traditional clothing and walk around all dressed up it gives you a very authentic feeling (until you all see people taking selfies and you are reminded they are from 2019 and not from the past). For me it was a great way to get to know Seoul/ South Korea on my first day. I went on my own for a quick visit, but if you have a chance to do a guided tour and learn about it´s history I think that would be very interesting. The place itself is huge and you can easily hang around for two hours. Later I found out there was a huge chunk of the park I missed (the water part) because I crossed over to the National folk museum, which is also well worth a visit by the way. If you have more time and feel like walking a bit more, you can also visit the Bukchon Hanok village at about 500 meters distance.","September 30, 2019"
"Nice enough, but big open space and after you’ve stared at it for 5-10 mins...wondering what to do with one’s self. ","September 30, 2019"
"On the dates posted on their official website (in Korean; not in English), foreigners can purchase up to 4 tickets at the ticket booth with a valid ID/passport. When I visited in September 2019, nighttime ticket sales started at 6:30 pm. Visitors were able to enter the palace at 6:40 pm, and were guided to go out at 9:00 pm. Hanboks (Korean traditional dresses) look gorgeous with the palace's night view!","September 29, 2019"
"The buildings, the grounds and the history are incredible. Everything you see is historic.To start, we took the #3 train and got off at the Jongno station, exit 1 takes you straight to the palace and museum. We got there right when the changing of the guards had finished so be there by 10 am or 2 pm if you want to see it. But we were able to go on the 11 am guided tour in English, it is free and it is the only way to know what you are seeing because most buildings look the same. The tour takes an hour and then you can walk around by yourself. It is very inexpensive, around $2.50 US unless you dress in traditional Korean clothes, then it is free.At the end exit towards the Seoul Library and walk to the Bukchon Hanok Village .","September 29, 2019"
"Very nice place, great to come over the weekend and see the local Koreans dressed on their traditional clothing ","September 29, 2019"
"Gyeongbokgung Palace was the royal palace of Joseon dynasty. Our tour guide, Erica, gave a detailed history of this dynasty and the sons fought with each other to occupy the throne and that lead to the construction of the other main palace. She explained about the summer and winter offices and rooms considering how hot and cold the temperature reaches during theses season in South Korea. Also, the change of guards is one of the major attractions of this palace. Don't miss it. Must visit.","September 28, 2019"
"An amazing, sprawling site you have to visit in Seoul. Get there by 10am on a weekday and you'll have a perfect view for the changing of the guard. it's an awesome show. Rent a traditional hanbok at a shop nearby, get in free and supercharge your instagram, yo.","September 28, 2019"
"Since we booked a nearby hostel, it was just a good walk from our place. The palaces are quite interesting which gives you an idea of how they used to lived during the old times.It was a good thing that it was not crowded when we visited so we really enjoyed the beauty of the place.","September 28, 2019"
"This Palace has some beautiful architecture & bugger structures than Seoul other palaces, but this makes it a lot busier. The buildings are set in a classic structure - as you pass through the biggest & most regal first, then lots of structures of lesser quality follow after with buildings & Court yards to either side.This Palace is easy to wander on your own without a guide.The route follows through to the National Folk Museum & also the is the National Museum of Korea at the side. ","September 27, 2019"
"Love this Palace in every season. The Main Royal Palace of the Joseon Dynasty - if you are going to visit just one cultural site on your visit to Seoul I would recommend the Gyeongbokgung Palace. You can tour on your own, help a student volunteer offering a tour, or join a free guided tour offered by the management office in English, Japanese, Chinese, or Korean. Entry is a reasonable 3000 for adults, 1,500 for juniors and free for under 6y or over 65y. Changing of the guard takes place at 1000 and 1400 inside the Gwanghwamun gate and Gate Guard duty performance outside the gate is at 1100 and 1300 daily. Even without seeing these performances wandering through is worthwhile, you can see the blue house from the far corner of the grounds, and the National Folk museum entrance is connected to the eastern side. Highly recommend to all - accessible and enough room for the little ones to get some energy out.","September 26, 2019"
Gyeongbokgung Palace itself was easy to find! (Stop at gyeongbokgung station). Rent a hanbok and you are able to enter for free !! I must say the palace is big and beautiful As for me i really want to visit the palace as i always seen it on tv so seeing it in real life is amazing! Its big that you need 2 hours to explore the whole area and there’s alot of pretty spots where you can take photos with your hanbok!! Definitely recommend to visit with your hanbok because you’ll feel like you are a princess/prince!! But of course there will be alot of tourist so come early so there not much people!,"September 26, 2019"
A wonderful slice of history brought to life. Probably most easily navigated for tourists as part of a city tour. Note that there's free entrance to the palace for people in tradition Hanbok dress.,"September 26, 2019"
This palace is a must-see if you are in Seoul for the first time. We visited on a national cultural day so many visitors had rented traditional clothing which made the visit even more colorful and entry was free this day. This palace is immense with many internal sections so plan on spending a few hours walking around the grounds. It is possible to rent headphones with a device where you point to a spot on the map and it gives you a detailed history (available in multiple languages). We witnessed the changing of the guard (at 10 am) which was a colorful event. The gardens and ponds in the back are serene and beautiful. There is also a museum full of national treasures from the Joseon Dynasty. Definitely worth a visit!,"September 25, 2019"
"If you're coming to Seoul, this place is a must see. The grounds are huge so be prepared to do a lot of walking. The view of the mountains is very majestic. You can rent a hanbok in nearby shops so you can enter for free which i highly recommend if you really want that Korean feel during your tour and take nice pictures in centuries old architecture. ","September 22, 2019"
"The palace is sooo big... and many photo spots in here. Bring your camera. And dont forget to watch guard ceremony @ 11.00 AM, and 14.00 PM ... ","September 22, 2019"
This castle was completed in 1395 shortly after the founding of the Joseon Dynasty. It was destroyed during the Japanese invasion of 1592 and was reconstructed in 1867.During the Japanese Occupation between 1910 and 1945 most of the buildings were torn down and work continues to fully restore the place since 1990. It is large and impressive and provides an interesting perspective of Korean history. It can get crowded but the grounds are extensive so it is not an issue.Access is via the Orange Line at Anguk or Gyeongokgung Stations.,"September 21, 2019"
"After a while the palaces start to look alike, but they each are beautiful in their own way. Best viewed in the winter or after a storm because the skies are usually cleared of smog and yellow dust. Take your time while walking around, take ur all in. ","September 21, 2019"
"If you are just looking to do what everyone ‘should do’ coming to Seoul, go there, rent a ‘traditional’ costume and take lots of selfies for your instagram posts.Otherwise stay away. Most of what you will see is less then 20 years old and there are so many dressed up tourists, it feels like carnival. There are much better places to get an impression of historical palaces.On the other hand, the two musea on site are worth it. One is focused on daily lives of Korean people through time and the other one boast a solid collection of the interiors of the palaces.","September 21, 2019"
We came here on a cloudy day and didn’t choose to go deep into the palace compounds by paying an entrance fee. Tourists were soaking in the atmosphere with their rented hanboks.,"September 21, 2019"
"Love this Palace in every season. The Main Royal Palace of the Joseon Dynasty - if you are going to visit just one cultural site on your visit to Seoul I would recommend the Gyeongbokgung Palace. You can tour on your own, help a student volunteer offering a tour, or join a free guided tour offered by the management office in English, Japanese, Chinese, or Korean. Entry is a reasonable 3000 for adults, 1,500 for juniors and free for under 6y or over 65y. Changing of the guard takes place at 1000 and 1400 inside the Gwanghwamun gate and Gate Guard duty performance outside the gate is at 1100 and 1300 daily. Even without seeing these performances wandering through is worthwhile, you can see the blue house from the far corner of the grounds, and the National Folk museum entrance is connected to the eastern side. Highly recommend to all - accessible and enough room for the little ones to get some energy out.","September 26, 2019"
Gyeongbokgung Palace itself was easy to find! (Stop at gyeongbokgung station). Rent a hanbok and you are able to enter for free !! I must say the palace is big and beautiful As for me i really want to visit the palace as i always seen it on tv so seeing it in real life is amazing! Its big that you need 2 hours to explore the whole area and there’s alot of pretty spots where you can take photos with your hanbok!! Definitely recommend to visit with your hanbok because you’ll feel like you are a princess/prince!! But of course there will be alot of tourist so come early so there not much people!,"September 26, 2019"
A wonderful slice of history brought to life. Probably most easily navigated for tourists as part of a city tour. Note that there's free entrance to the palace for people in tradition Hanbok dress.,"September 26, 2019"
This palace is a must-see if you are in Seoul for the first time. We visited on a national cultural day so many visitors had rented traditional clothing which made the visit even more colorful and entry was free this day. This palace is immense with many internal sections so plan on spending a few hours walking around the grounds. It is possible to rent headphones with a device where you point to a spot on the map and it gives you a detailed history (available in multiple languages). We witnessed the changing of the guard (at 10 am) which was a colorful event. The gardens and ponds in the back are serene and beautiful. There is also a museum full of national treasures from the Joseon Dynasty. Definitely worth a visit!,"September 25, 2019"
"If you're coming to Seoul, this place is a must see. The grounds are huge so be prepared to do a lot of walking. The view of the mountains is very majestic. You can rent a hanbok in nearby shops so you can enter for free which i highly recommend if you really want that Korean feel during your tour and take nice pictures in centuries old architecture. ","September 22, 2019"
"The palace is sooo big... and many photo spots in here. Bring your camera. And dont forget to watch guard ceremony @ 11.00 AM, and 14.00 PM ... ","September 22, 2019"
This castle was completed in 1395 shortly after the founding of the Joseon Dynasty. It was destroyed during the Japanese invasion of 1592 and was reconstructed in 1867.During the Japanese Occupation between 1910 and 1945 most of the buildings were torn down and work continues to fully restore the place since 1990. It is large and impressive and provides an interesting perspective of Korean history. It can get crowded but the grounds are extensive so it is not an issue.Access is via the Orange Line at Anguk or Gyeongokgung Stations.,"September 21, 2019"
"After a while the palaces start to look alike, but they each are beautiful in their own way. Best viewed in the winter or after a storm because the skies are usually cleared of smog and yellow dust. Take your time while walking around, take ur all in. ","September 21, 2019"
"If you are just looking to do what everyone ‘should do’ coming to Seoul, go there, rent a ‘traditional’ costume and take lots of selfies for your instagram posts.Otherwise stay away. Most of what you will see is less then 20 years old and there are so many dressed up tourists, it feels like carnival. There are much better places to get an impression of historical palaces.On the other hand, the two musea on site are worth it. One is focused on daily lives of Korean people through time and the other one boast a solid collection of the interiors of the palaces.","September 21, 2019"
We came here on a cloudy day and didn’t choose to go deep into the palace compounds by paying an entrance fee. Tourists were soaking in the atmosphere with their rented hanboks.,"September 21, 2019"
"Great place to visit if you are in Seoul, gives you a good feel of life back in the emperors time. Only knock is there are no real signs or plaques explaining what your looking at, but for the couple of dollars changed to get in, it was well worth it. ","September 20, 2019"
Nice and worthwhile visit to the best palace complex of the city.. Try to have a sunset visit that will give you a unique and less crowded experience,"September 17, 2019"
We recommend to visit this magnificent palace during weekends so that you can engage a volunteer tour guide to show you around the palace and giving you more insights into the Korean dynasty era. A nice place for history lovers! ,"September 17, 2019"
The interesting thing about the visit was we had to dress the traditional hanbok or Chosŏn-ot and visit the palace. We were lucky to arrive during the changing of the guards at 4 p.m. The changing of the guards are done twice a day in the mornings and evenings. ,"September 17, 2019"
"Very beautiful palace that is super huge with lots to explore! Very photogenic palace. My friend and I got our hanbok rental + photography services on Klook Travel. It was a great experience and we went home with a lot of lovely shots to remember the day. Do check out the weather forecast before going! It happened to be drizzling when we went, which made the hanbok skirts wet and difficult to walk in, but the air was really nice and cooling! I personally think I enjoyed it better with the drizzles than if it was a really hot sunny day. Just avoid pouring rain and bring an umbrella in case. Here's a lil more about the place :> Largest & most beautiful of the 5 Grand Palaces> Built in 1395> represented the sovereignty of Joseon DynastyEntrance Fee is 3k wonFREE for seniors over 65yo, visitors in hanbok (you can rent nearby) and on Culture Day (last Wed of the month)> Free guided tours in 4 languages between 10am - 4pm> 2 types of Guard changing ceremonies between 10am - 2pm (Changing of palace guard ceremony inside Gwanghwamun gate & Gate Guard duty performance outside Gwanghwamun gate)> FOOD TIP : There is a Tosokchon Samgyetang nearby which is very well known for their Korean Ginseng Chicken. It is on the left side of Gyeongbokgung Palace.If you liked my review, do me a favor and give me a thumbs up please? :) I hope to share more as I travel! Thank you! Happy traveling!","September 16, 2019"
"A must-visit location in Seoul, portraying Korean architecture and culture. Try wearing hanbok (Korean traditional dress) while visiting the palace. ","September 16, 2019"
This is a fabulous place for anyone and everyone to explore Korea history. From the palace walls to the museum inside you definitely get a sense of what the old days were like and beauty that Korea has Architect wise. The price to enter is such a small amount $3 USD or free if you rent a hanbok- which I highly recommended for memorable pictures.,"September 15, 2019"
"The Gyeongbokgung Palace is an amazing experience and worth the visit when in Seoul! Step back into time more than 600 years to walk these grounds and take in all the history that makes this palace a “MUST VISIT”.! The grounds are vast with countless buildings, gates and walls to wonder around and take in all the aspects of Korean history and culture! Make sure you give yourself at least a couple hours for this one; it is spread out with lots to take in. Highly recommend.!!","September 15, 2019"
"Its a nice places to learn about the culture. You can try to use hanbok and the clothes are very pretty. Many foreigners as well as local use that during the visit. They have guard shift ceremony every 10 am and 2 pm, make sure not to miss this ceremony. The palace environment felt once you arrive the gyeongbokgung subway.","September 14, 2019"
"Wow. Visiting Gyeongbokgung Palace was the highlight on this one day tour. We felt as if we were transported back in time, by just walking through the Palace gate. It felt surreal for me. Seeing the size of the property and the designs certainly added to the mystique of the surroundings. The changing of the guards reminds me of British Palace tours, only more colorful and artsy. Added to the attraction were the visitors of all ages wearing rented traditional garbs. Amazingly awesome place to visit. We spent an hour here including visit to the National Folk museum situated on the same grounds. A must see when you go. ","September 14, 2019"
"Great place to visit if you are in Seoul, gives you a good feel of life back in the emperors time. Only knock is there are no real signs or plaques explaining what your looking at, but for the couple of dollars changed to get in, it was well worth it. ","September 20, 2019"
Nice and worthwhile visit to the best palace complex of the city.. Try to have a sunset visit that will give you a unique and less crowded experience,"September 17, 2019"
We recommend to visit this magnificent palace during weekends so that you can engage a volunteer tour guide to show you around the palace and giving you more insights into the Korean dynasty era. A nice place for history lovers! ,"September 17, 2019"
The interesting thing about the visit was we had to dress the traditional hanbok or Chosŏn-ot and visit the palace. We were lucky to arrive during the changing of the guards at 4 p.m. The changing of the guards are done twice a day in the mornings and evenings. ,"September 17, 2019"
"Very beautiful palace that is super huge with lots to explore! Very photogenic palace. My friend and I got our hanbok rental + photography services on Klook Travel. It was a great experience and we went home with a lot of lovely shots to remember the day. Do check out the weather forecast before going! It happened to be drizzling when we went, which made the hanbok skirts wet and difficult to walk in, but the air was really nice and cooling! I personally think I enjoyed it better with the drizzles than if it was a really hot sunny day. Just avoid pouring rain and bring an umbrella in case. Here's a lil more about the place :> Largest & most beautiful of the 5 Grand Palaces> Built in 1395> represented the sovereignty of Joseon DynastyEntrance Fee is 3k wonFREE for seniors over 65yo, visitors in hanbok (you can rent nearby) and on Culture Day (last Wed of the month)> Free guided tours in 4 languages between 10am - 4pm> 2 types of Guard changing ceremonies between 10am - 2pm (Changing of palace guard ceremony inside Gwanghwamun gate & Gate Guard duty performance outside Gwanghwamun gate)> FOOD TIP : There is a Tosokchon Samgyetang nearby which is very well known for their Korean Ginseng Chicken. It is on the left side of Gyeongbokgung Palace.If you liked my review, do me a favor and give me a thumbs up please? :) I hope to share more as I travel! Thank you! Happy traveling!","September 16, 2019"
"A must-visit location in Seoul, portraying Korean architecture and culture. Try wearing hanbok (Korean traditional dress) while visiting the palace. ","September 16, 2019"
This is a fabulous place for anyone and everyone to explore Korea history. From the palace walls to the museum inside you definitely get a sense of what the old days were like and beauty that Korea has Architect wise. The price to enter is such a small amount $3 USD or free if you rent a hanbok- which I highly recommended for memorable pictures.,"September 15, 2019"
"The Gyeongbokgung Palace is an amazing experience and worth the visit when in Seoul! Step back into time more than 600 years to walk these grounds and take in all the history that makes this palace a “MUST VISIT”.! The grounds are vast with countless buildings, gates and walls to wonder around and take in all the aspects of Korean history and culture! Make sure you give yourself at least a couple hours for this one; it is spread out with lots to take in. Highly recommend.!!","September 15, 2019"
"Its a nice places to learn about the culture. You can try to use hanbok and the clothes are very pretty. Many foreigners as well as local use that during the visit. They have guard shift ceremony every 10 am and 2 pm, make sure not to miss this ceremony. The palace environment felt once you arrive the gyeongbokgung subway.","September 14, 2019"
"Wow. Visiting Gyeongbokgung Palace was the highlight on this one day tour. We felt as if we were transported back in time, by just walking through the Palace gate. It felt surreal for me. Seeing the size of the property and the designs certainly added to the mystique of the surroundings. The changing of the guards reminds me of British Palace tours, only more colorful and artsy. Added to the attraction were the visitors of all ages wearing rented traditional garbs. Amazingly awesome place to visit. We spent an hour here including visit to the National Folk museum situated on the same grounds. A must see when you go. ","September 14, 2019"
"We went in the morning with an organized tour group and we loved it. Admittedly, it always helps to have good weather and a clear, blue sky but the Palace grounds are very large and beautiful with plenty of different things to see. We also attended the Changing of the Guard ceremony which I would really recommend. I'd also recommend going with a tour guide because otherwise you'll be walking through the grounds not knowing what you see and you could get lost in this ""labyrinth"" and hence maybe miss some important buildings and stories. From the limited things I've seen in Seoul (it was a joint business/family 2-day trip), this was the highlight.","September 14, 2019"
"Very good morning touring around the Palace and surrounding buildings. Extensive grounds to walk around with many buildings. Most enjoyable was the changing of the guard at 10am and 2pm, also watching all the people dressed up in traditional clothing taking pictures.","September 13, 2019"
"This Palace also houses the Korean National Palace Museum and the National Folk Museum.Because it was the biggest remaining Korean palace , the whole complex was systematically destroyed during the Japanese Occupation at the beginning of the 20th Century, and is slowly being rebuilt , including demolition of former Japanese government buildings to recreate the majestic Palace gateways! So everything you see today is very recent.","September 13, 2019"
"It was built prior to Forbidden City of China, but a bit smaller and maybe a bit simpler?Overall, enjoyed the changes of guard, even though they were all actors. As the biggest of the 5 palaces in Seoul, it is still a must to do list, but may not need to visit the other palaces after this one. ","September 12, 2019"
"Free English and Korean tours available, usually 1.5 hour long. Three times a day, last is at 330pm or so. This was on a Sunday for us. I recommend the tour guides bc it makes seeing the building and at different aspects more enjoyable and knowing their history is a plus.Admission is 3000 won/ adult. Credit card accepted. You can rent traditional clothing and get free admission, rental rates is cheaper as you get further from the palace. Usually 10000 won nearby the palace. Folk museum is right next door and free admission. ","September 12, 2019"
This place is a must visit to all visitors! You must rent Hanbok and take picture in the palace. Great view and great picture. ,"September 11, 2019"
"Less opulent than the Forbidden City in Beijing, but more trees, flowers, and greenery. Lovely to walk around and see people in hanbok (beautifully crafted traditional clothing).","September 11, 2019"
"Beautiful place, definitely a place to visit with family, we got to know and understood a lot of the wonderful Korean culture.","September 10, 2019"
"Simply a must see in Korea. Even if most of it has been rebuilt as it was mostly destroyed by Japs and Korean War after that, it is now in good condition. Large park, beautiful architecture, what are you waiting for?!","September 10, 2019"
Getting into the Gyeongbokgung Palace brings you back to the ancient scenes of Korea and makes you understand more their culture and history.,"September 9, 2019"
"We went in the morning with an organized tour group and we loved it. Admittedly, it always helps to have good weather and a clear, blue sky but the Palace grounds are very large and beautiful with plenty of different things to see. We also attended the Changing of the Guard ceremony which I would really recommend. I'd also recommend going with a tour guide because otherwise you'll be walking through the grounds not knowing what you see and you could get lost in this ""labyrinth"" and hence maybe miss some important buildings and stories. From the limited things I've seen in Seoul (it was a joint business/family 2-day trip), this was the highlight.","September 14, 2019"
"Very good morning touring around the Palace and surrounding buildings. Extensive grounds to walk around with many buildings. Most enjoyable was the changing of the guard at 10am and 2pm, also watching all the people dressed up in traditional clothing taking pictures.","September 13, 2019"
"This Palace also houses the Korean National Palace Museum and the National Folk Museum.Because it was the biggest remaining Korean palace , the whole complex was systematically destroyed during the Japanese Occupation at the beginning of the 20th Century, and is slowly being rebuilt , including demolition of former Japanese government buildings to recreate the majestic Palace gateways! So everything you see today is very recent.","September 13, 2019"
"It was built prior to Forbidden City of China, but a bit smaller and maybe a bit simpler?Overall, enjoyed the changes of guard, even though they were all actors. As the biggest of the 5 palaces in Seoul, it is still a must to do list, but may not need to visit the other palaces after this one. ","September 12, 2019"
"Free English and Korean tours available, usually 1.5 hour long. Three times a day, last is at 330pm or so. This was on a Sunday for us. I recommend the tour guides bc it makes seeing the building and at different aspects more enjoyable and knowing their history is a plus.Admission is 3000 won/ adult. Credit card accepted. You can rent traditional clothing and get free admission, rental rates is cheaper as you get further from the palace. Usually 10000 won nearby the palace. Folk museum is right next door and free admission. ","September 12, 2019"
This place is a must visit to all visitors! You must rent Hanbok and take picture in the palace. Great view and great picture. ,"September 11, 2019"
"Less opulent than the Forbidden City in Beijing, but more trees, flowers, and greenery. Lovely to walk around and see people in hanbok (beautifully crafted traditional clothing).","September 11, 2019"
"Beautiful place, definitely a place to visit with family, we got to know and understood a lot of the wonderful Korean culture.","September 10, 2019"
"Simply a must see in Korea. Even if most of it has been rebuilt as it was mostly destroyed by Japs and Korean War after that, it is now in good condition. Large park, beautiful architecture, what are you waiting for?!","September 10, 2019"
Getting into the Gyeongbokgung Palace brings you back to the ancient scenes of Korea and makes you understand more their culture and history.,"September 9, 2019"
"It was an interesting place. The palace is a large area with different buildings and gardens. By the entrance gate it was very crowded but the more you walk inside, the less people there is. Alot of people are dressed in the traditional clothes, so it was very interesting. It felt like a movie set or a scene from the past. The buildings were simple with colored wood decorations.","September 8, 2019"
"I went by myself via the subway, which was very safe and interesting. The palace a short walk from the stop. I timed my arrival with the changing of the guard. I spent 2-3 hours here, wandering about and taking photos. The numerous costumed guests afforded me great shots as they posed, ran, or peaked out. The entry fee was reasonable. I'm happy tourists are allowed to view the grounds.Afterwards, I walked around the area and saw a huge protest at Gwanghwamun Square, which is a gathering place in front of the palace. I was told there something going on there almost daily. A further bit down the road and I ran into a Starbucks and then on to the tourist information center, where they were very helpful. I need an SD card for my phone and they called the nearby bookstore and inquired if they did indeed sell the cards as I had been told. I then walked across the street, to the bookstore, and discovered that it is nothing like I would know in the USA. They sell all manner of things inside that store. It was very interesting there too. This area is a must-see!","September 7, 2019"
