review_title,review_body
Excellant Beach,A great place for romance. On one side you can see sky scrappers and on the other side its the fury of the mighty sea. Sunset is awesome.
Coffee overdose,"I have never seen so many coffee shops and vans in such a small area, and go in off the beach and the trend continues in the shops just of the beach. I get the idea that this beach is for the younger surfer crowd judging by the number of surfing outlets and learn to surf adverts. It was a nice beach though, although I would say devoid of enough surf to even warrant a surf board. The town behind the beach was a little drab."
Quiet Beach,We had a great time at the beach. Wonderful for family. You can rent a chair and an umbrella for the day. Tons of coffee shops and places to eat. The crowds were calm and not much of a party place so it was great for a family with children. We will be back. 
Laid back beach.,This is one of the stops on the hop-on hop-off bus tour and we loved it here. The place has a village type of feel to it with its own fishing harbor and nice beach and laid back coffee shops over looking the beach with many many people surfing.
Beautiful and clean beach with many services in the area. Hermosa y limpia playa con muchos servicios en el area.,"We went surfing with some friends and we had no issues finding boards for rental (only soft top though, try Monkey Surf, about 2 blocks from the beach) also there were many cafes and restaurants around. The water was clean too and not too cold at all (Sept/Oct). Fuimos a surfear con unos amigos y no tuvimos problemas para encontrar arriendo de tablas, solo de espuma, y trajes, prueban en el Monkey Surf, 2 cuadras de la playa) tambien habian muchos cares y restaurantes alrededor. El agua estaba limpia y no estaba muy helada, (Septiembre-Octubre)"
Best beach in Busan,"What I like about the Songjeong Beach is the surfing activity. It is less crowded than the Haeundae Beach. And lots of coffeeshops for relaxation and pasttime.I can definitely recommend surfing in this beach. For an additional activity, you can hike the small hill at the end of the beach, where you can indulge in light exercises. They have installed light equipment for exercise. There is also a temple at the end of the trail, where you can just sit down and enjoy the cool breeze. A good spot for an afternoon nap."
Lovely place but not in August,"In June, it was wonderful and quite but I don't recommend going in August if you want to see people camping, cooking and almost living on an overcrowded beach. Anyway, in June... it was nice. There were plenty of shells and surfers. There is only 1 restaurant for foreigners but it's ok."
Good!,"The beach is just nice and chilling, not too crowded. Although here they have a club for surfing, it is quite small for senior ones, just for beginners. Anyway, it is also a nice place to kill your time or you just don’t want to work out too much."
A Much More Traditional Beach,"Songjeong Beach is a breath of fresh air after experiencing Haeundae Beach. It is much more similar to the sleepy little coastal towns up an down the California coast. It is laid-back and relaxed. Not nearly as many people go to this beach and it is longer than Haeundae, so it always has areas for reflection, relaxation, and contemplation. Many coffee shops are located along the beach with views out over the water, so a person can sit and enjoy watching the waves, watching surfers trying to get up on their boards, or just listening to the sounds of the sea. A coffee shop I recommend is the Angel-In-Us coffee shop. Many times friends of mine would go early in the morning to drink coffee and watch the sunrise over the beach. Songjeoung Beach is worth the visit."
Surfing Hits Korea,"For those who have the luxury of great surf beaches in their country, surfing in Korea seems almost ""why""! But if you've surfed around the world why not tick Korea off your list. The surf is ultra small and really only for beginners but there are a hard core of enthusiasts here that love it. so more power to them. The Songjeong Surfing club and others rent out long boards so take a leap into the icy cold waters and have some bragging rights. Sure your sirens have surfed Bali, Mauritius and Portugal but have they hit the swell in Korea? Actually there are several other surf beaches worth exploring. And there's some great coffee shops nearby to warm you up."
Less touristy,"This is a lovely sandy beach, crowded but less touristy than Gwagnam or Haeundae which equates to very little English in the signage or places to eat and stay. . Surfing lessons and also covered with umbrellas but a bit less expensive. Cold water and full coverage swimming, the two women in bikinis seemed shocking in contrast. "
Worth a Visit,This beach is for a quieter crowd than those wishing to go to Haeundae. Check out the organic restaurant for the best food ever.
"Nice little beach with some surfboard rental, shops, and restaurants right across the street","This is a cute little beach, in a sheltered little bay, with some charming little surf shops (tons of surfboard rental), cafe's, restaurants, and stores. It looked very clean (Korea in general is very clean). "
Better Beach in Busan,"One of the better beaches around Busan, it is less expensive and less crowded than Haeundae Beach. There are salt water spas and great restaurants. Also, a famous ancient temple is close by. Accessible by convenient city express bus and local train."
My favourite beach in Busan. But MOVE THE SWIMMING BOUNDARY'S OUT!!!,"Best beach in Busan. The water is clean, the sane is nice and it isn't as busy as Haeundae. Although it is getting busier over the years. But they really must move the swimming boundary out. It is far to close to the shore and during low tide it doesn't give you anywhere to swim. The strip could use less cafe's and more food. "
"A little paradise, close to Busan","My favourite day in Busan was spent at this beach. It is a quiet escape from bustling Busan, and on good days you can hang-ten with other local surfers. Very close to the new Lotte Mall and outlets as well as Haedong Yonggung Temple."
"Best Beach in Busan, if...","If you want to go to a beach that isn't quite so crowded, this is the best beach in Busan. Songjeong's off the subway line, so it doesn't get quite the same tourist traffic that Haeundae and Gwanganli do. There are a few coffee shops (Holly's, Angel-in-us) with 5 or so floors each, right up on the beach so you can see everything for kilometers around. There's also a beautiful little park on a peninsula nearby with walking trails and a beautiful pagoda. That being said, there isn't much foreign food in the area (I think I've seen a McDonald's a few blocks away). We ate at a dwegi-gukbap (pork/rice soup) place and loved it. Otherwise, if you're wanting a full meal, be prepared to eat fish."
