review_title,review_body
So much fun!,"Personally love aquariums a lot and I really had a lot of fun with my friends. Do pick up a programme booklet at the entrance and go for as many of the activities as possible! Most of them are feeding sessions and the animals are cute beyond imagination.The beluga whales really left a deep impression on me. Recommended for couples, friends, families with kids and solo travel."
Good place for a half day visit.,"For about 23k won,you get to see some rare whales and tiger shark among others and have lots of fun.Places are clean and well organised and certainly worth a go."
Nice place to have fun,It is a nice place. You could have a lot of fun and you could learn at the same time. The place has a nice coffe shop and food court area.
Really good place with Kids,"Family trip,Took 4 hours, you should check the show schedule Really good place with KidsTip is left side of Main tub (looks like screen) there's cafeteria / Inside of this cafeteria there is good table to enjoy the view"
Very good day spent in Yeosu!!,"Definitely worth visiting the Hanhwa Aqua Planet!! It was a fun day filled with lots to do! Not only do you get to see the wonderful aquarium, there is also a 4D experience AND a Trick Eye Museum (the Alive Museum). Tip: Make sure you take extra phone/camera batteries, or at the very least put your charger in your bag so you can charge your device while drinking a coffee or having a nice lunch at the food court..! Enjoy...!!!"
Great aquarium,Our kids enjoyed this place so much. The place is interesting. There are many things to see and some good shows. We got 20% discount for tickets because we stayed in the MVL Hotel.
Great aquarium at the site of the 2012 Yeosu World Expo,"Good for adults and especially good for kids. The main tank's display window is as big or bigger than a movie theater screen, and the tank supposedly holds thousands of fish; it is huge. Many other speciality tanks as well. Be sure to ask the ticketing folks what time all the various shows are, else you'll miss them. It's 5-600 meters from the Yeosu MVL Hotel, and also close to the train station. Lots of parking because it's at the site of the 2012 Yeosu World Expo. (Parking fee was small.) Yeosu is a great little city to spend a long weekend in."
unique,"If you would like to see belugas, this is a great location; corals, sharks are limited. Kind of a strange ""mermaids"" swimming to music was a dominant feature; loud and not very interesting.Can see it all in about 1h."
Best Aquarium in Korea,"I've been to the CoEx Aquarium in Seoul and the 63 Building but this is by far the best aquarium in Korea. It is new and has a nice variety of fish and sea life. My kids, 2 and 4 year old, had a wonderful time. It opened at 10 am and we were able to see lots of ""shows"" ( otter feeding, penguin feeding, Beluga whale show and main tank feeding of the manta rays) by lunch time. We ate in the aquarium restaurant patio and the food was not bad with good portion size and great view. We were able to go back in to see the synchronized swimmers in the main tank and touch tank. The kids loved the doctor fish (they nibble your fingers) and touching the sea stars. We bought our tickets on GMarket and saved about $10. You can use your ticket to get a 20% discount for the rail bike. June was a great time to visit. No summer crowds."
Great aquarium for children or adults!,"I traveled to the Aquarium with my in-laws and 26 month-old daughter. I loved it- and my daughter had a really good time running around and looking at all the great wildlife. By way of comparison, about three months earlier we had visited the National Aquarium outside of Baltimore. It wasn't the best of times for my daughter and she was a bit grumpy, but if I had a choice of the two again, I would choose Yeosu.The layout was great. The fish seemed to be healthy. There were a few different places to interact- my favorite was the doctor fish, where you could put your fingers into the water and let the doctor fish eat away. Also, there was a small pool where you could pick up starfish and smaller shelled...crabs? Mostly, though, it wasn't so huge that my daughter would get bored- which I think she did at the National Aquarium.The gift shop was small, but nice and I thought the prices were reasonable.All in all, it was a great experience and if you are in the area, why not give it a shot?"
